Date,Cash,Position_Value,Total
2024-01-03,10000.0,0.0,10000.0
2024-01-04,10000.0,0.0,10000.0
2024-01-05,10000.0,0.0,10000.0
2024-01-08,10000.0,0.0,10000.0
2024-01-09,10000.0,0.0,10000.0
2024-01-10,10000.0,0.0,10000.0
2024-01-11,10000.0,0.0,10000.0
2024-01-12,10000.0,0.0,10000.0
2024-01-16,10000.0,0.0,10000.0
2024-01-17,10000.0,0.0,10000.0
2024-01-18,10000.0,0.0,10000.0
2024-01-19,10000.0,0.0,10000.0
2024-01-22,10000.0,0.0,10000.0
2024-01-23,10000.0,0.0,10000.0
2024-01-24,10000.0,0.0,10000.0
2024-01-25,10000.0,0.0,10000.0
2024-01-26,10000.0,0.0,10000.0
2024-01-29,10000.0,0.0,10000.0
2024-01-30,10000.0,0.0,10000.0
2024-01-31,10000.0,0.0,10000.0
2024-02-01,10000.0,0.0,10000.0
2024-02-02,10000.0,0.0,10000.0
2024-02-05,10000.0,0.0,10000.0
2024-02-06,10000.0,0.0,10000.0
2024-02-07,10000.0,0.0,10000.0
2024-02-08,10000.0,0.0,10000.0
2024-02-09,10000.0,0.0,10000.0
2024-02-12,10000.0,0.0,10000.0
2024-02-13,10000.0,0.0,10000.0
2024-02-14,10000.0,0.0,10000.0
2024-02-15,10000.0,0.0,10000.0
2024-02-16,10000.0,0.0,10000.0
2024-02-20,10000.0,0.0,10000.0
2024-02-21,10000.0,0.0,10000.0
2024-02-22,10000.0,0.0,10000.0
2024-02-23,10000.0,0.0,10000.0
2024-02-26,10000.0,0.0,10000.0
2024-02-27,10000.0,0.0,10000.0
2024-02-28,10000.0,0.0,10000.0
2024-02-29,10000.0,0.0,10000.0
2024-03-01,10000.0,0.0,10000.0
2024-03-04,10000.0,0.0,10000.0
2024-03-05,10000.0,0.0,10000.0
2024-03-06,10000.0,0.0,10000.0
2024-03-07,10000.0,0.0,10000.0
2024-03-08,10000.0,0.0,10000.0
2024-03-11,10000.0,0.0,10000.0
2024-03-12,10000.0,0.0,10000.0
2024-03-13,459.1304016113281,9540.869598388672,10000.0
2024-03-14,459.1304016113281,9522.007598876953,9981.138000488281
2024-03-15,459.1304016113281,9456.62435913086,9915.754760742188
2024-03-18,459.1304016113281,9512.825927734375,9971.956329345703
2024-03-19,459.1304016113281,9565.691131591797,10024.821533203125
2024-03-20,459.1304016113281,9654.16683959961,10113.297241210938
2024-03-21,459.1304016113281,9686.07162475586,10145.202026367188
2024-03-22,459.1304016113281,9667.707702636719,10126.838104248047
2024-03-25,459.1304016113281,9640.997650146484,10100.128051757812
2024-03-26,459.1304016113281,9623.190368652344,10082.320770263672
2024-03-27,459.1304016113281,9704.06039428711,10163.190795898438
2024-03-28,459.1304016113281,9702.208984375,10161.339385986328
2024-04-01,459.1304016113281,9685.325958251953,10144.456359863281
2024-04-02,459.1304016113281,9623.748168945312,10082.87857055664
2024-04-03,459.1304016113281,9634.319122314453,10093.449523925781
2024-04-04,459.1304016113281,9516.722412109375,9975.852813720703
2024-04-05,459.1304016113281,9616.141326904297,10075.271728515625
2024-04-08,459.1304016113281,9621.522186279297,10080.652587890625
2024-04-09,459.1304016113281,9632.649780273438,10091.780181884766
2024-04-10,459.1304016113281,9536.197296142578,9995.327697753906
2024-04-11,459.1304016113281,9608.167449951172,10067.2978515625
2024-04-12,459.1304016113281,9475.543182373047,9934.673583984375
2024-04-15,459.1304016113281,9356.832611083984,9815.963012695312
2024-04-16,459.1304016113281,9339.768096923828,9798.898498535156
2024-04-17,459.1304016113281,9284.493103027344,9743.623504638672
2024-04-18,459.1304016113281,9265.388732910156,9724.519134521484
2024-04-19,459.1304016113281,9184.516967773438,9643.647369384766
2024-04-22,459.1304016113281,9269.098510742188,9728.228912353516
2024-04-23,459.1304016113281,9379.090698242188,9838.221099853516
2024-04-24,459.1304016113281,9374.639892578125,9833.770294189453
2024-04-25,459.1304016113281,9339.026489257812,9798.15689086914
2024-04-26,9886.633758544922,0.0,9886.633758544922
2024-04-29,9886.633758544922,0.0,9886.633758544922
2024-04-30,9886.633758544922,0.0,9886.633758544922
2024-05-01,9886.633758544922,0.0,9886.633758544922
2024-05-02,9886.633758544922,0.0,9886.633758544922
2024-05-03,9886.633758544922,0.0,9886.633758544922
2024-05-06,9886.633758544922,0.0,9886.633758544922
2024-05-07,9886.633758544922,0.0,9886.633758544922
2024-05-08,9886.633758544922,0.0,9886.633758544922
2024-05-09,9886.633758544922,0.0,9886.633758544922
2024-05-10,9886.633758544922,0.0,9886.633758544922
2024-05-13,9886.633758544922,0.0,9886.633758544922
2024-05-14,9886.633758544922,0.0,9886.633758544922
2024-05-15,9886.633758544922,0.0,9886.633758544922
2024-05-16,9886.633758544922,0.0,9886.633758544922
2024-05-17,9886.633758544922,0.0,9886.633758544922
2024-05-20,54.770416259765625,9831.863342285156,9886.633758544922
2024-05-21,54.770416259765625,9855.976318359375,9910.74673461914
2024-05-22,54.770416259765625,9827.596923828125,9882.36734008789
2024-05-23,54.770416259765625,9755.814636230469,9810.585052490234
2024-05-24,54.770416259765625,9820.362915039062,9875.133331298828
2024-05-28,54.770416259765625,9827.225830078125,9881.99624633789
2024-05-29,54.770416259765625,9758.408813476562,9813.179229736328
2024-05-30,54.770416259765625,9693.676147460938,9748.446563720703
2024-05-31,54.770416259765625,9781.965148925781,9836.735565185547
2024-06-03,54.770416259765625,9789.943664550781,9844.714080810547
2024-06-04,54.770416259765625,9800.887451171875,9855.65786743164
2024-06-05,54.770416259765625,9917.371459960938,9972.141876220703
2024-06-06,54.770416259765625,9917.185913085938,9971.956329345703
2024-06-07,54.770416259765625,9905.130004882812,9959.900421142578
2024-06-10,54.770416259765625,9935.731323242188,9990.501739501953
2024-06-11,54.770416259765625,9959.661071777344,10014.43148803711
2024-06-12,54.770416259765625,10041.462890625,10096.233306884766
2024-06-13,54.770416259765625,10061.681701660156,10116.452117919922
2024-06-14,54.770416259765625,10067.80126953125,10122.571685791016
2024-06-17,54.770416259765625,10147.928527832031,10202.698944091797
2024-06-18,54.770416259765625,10173.712585449219,10228.483001708984
2024-06-20,54.770416259765625,10146.075378417969,10200.845794677734
2024-06-21,54.770416259765625,10132.472473144531,10187.242889404297
2024-06-24,54.770416259765625,10099.534423828125,10154.30484008789
2024-06-25,54.770416259765625,10138.427368164062,10193.197784423828
2024-06-26,54.770416259765625,10151.081665039062,10205.852081298828
2024-06-27,54.770416259765625,10167.085083007812,10221.855499267578
2024-06-28,54.770416259765625,10127.07421875,10181.844635009766
2024-07-01,54.770416259765625,10147.915771484375,10202.68618774414
2024-07-02,54.770416259765625,10216.209777832031,10270.980194091797
2024-07-03,54.770416259765625,10261.800964355469,10316.571380615234
2024-07-05,54.770416259765625,10320.976501464844,10375.74691772461
2024-07-08,54.770416259765625,10332.885131835938,10387.655548095703
2024-07-09,54.770416259765625,10342.933654785156,10397.704071044922
2024-07-10,54.770416259765625,10445.281311035156,10500.051727294922
2024-07-11,54.770416259765625,10355.214538574219,10409.984954833984
2024-07-12,54.770416259765625,10420.530517578125,10475.30093383789
2024-07-15,54.770416259765625,10449.188232421875,10503.95864868164
2024-07-16,54.770416259765625,10511.153930664062,10565.924346923828
2024-07-17,54.770416259765625,10363.774047851562,10418.544464111328
2024-07-18,54.770416259765625,10284.13037109375,10338.900787353516
2024-07-19,54.770416259765625,10215.837524414062,10270.607940673828
2024-07-22,54.770416259765625,10321.163208007812,10375.933624267578
2024-07-23,54.770416259765625,10304.973083496094,10359.74349975586
2024-07-24,54.770416259765625,10071.435668945312,10126.206085205078
2024-07-25,54.770416259765625,10018.960693359375,10073.73110961914
2024-07-26,54.770416259765625,10131.169006347656,10185.939422607422
2024-07-29,54.770416259765625,10137.125061035156,10191.895477294922
2024-07-30,54.770416259765625,10085.765686035156,10140.536102294922
2024-07-31,54.770416259765625,10249.704467773438,10304.474884033203
2024-08-01,54.770416259765625,10104.559265136719,10159.329681396484
2024-08-02,54.770416259765625,9916.428649902344,9971.19906616211
2024-08-05,54.770416259765625,9627.626098632812,9682.396514892578
2024-08-06,54.770416259765625,9716.388244628906,9771.158660888672
2024-08-07,54.770416259765625,9651.444519042969,9706.214935302734
2024-08-08,54.770416259765625,9874.559997558594,9929.33041381836
2024-08-09,9972.874786376953,0.0,9972.874786376953
2024-08-12,9972.874786376953,0.0,9972.874786376953
2024-08-13,9972.874786376953,0.0,9972.874786376953
2024-08-14,9972.874786376953,0.0,9972.874786376953
2024-08-15,9972.874786376953,0.0,9972.874786376953
2024-08-16,9972.874786376953,0.0,9972.874786376953
2024-08-19,9972.874786376953,0.0,9972.874786376953
2024-08-20,9972.874786376953,0.0,9972.874786376953
2024-08-21,9972.874786376953,0.0,9972.874786376953
2024-08-22,9972.874786376953,0.0,9972.874786376953
2024-08-23,9972.874786376953,0.0,9972.874786376953
2024-08-26,9972.874786376953,0.0,9972.874786376953
2024-08-27,9972.874786376953,0.0,9972.874786376953
2024-08-28,9972.874786376953,0.0,9972.874786376953
2024-08-29,9972.874786376953,0.0,9972.874786376953
2024-08-30,9972.874786376953,0.0,9972.874786376953
2024-09-03,240.23831176757812,9732.636474609375,9972.874786376953
2024-09-04,240.23831176757812,9712.714965820312,9952.95327758789
2024-09-05,240.23831176757812,9689.092163085938,9929.330474853516
2024-09-06,240.23831176757812,9526.025390625,9766.263702392578
2024-09-09,240.23831176757812,9632.679565429688,9872.917877197266
2024-09-10,240.23831176757812,9674.63525390625,9914.873565673828
2024-09-11,240.23831176757812,9773.887939453125,10014.126251220703
2024-09-12,240.23831176757812,9856.216186523438,10096.454498291016
2024-09-13,240.23831176757812,9907.691528320312,10147.92984008789
2024-09-16,240.23831176757812,9922.325317382812,10162.56362915039
2024-09-17,240.23831176757812,9926.38037109375,10166.618682861328
2024-09-18,240.23831176757812,9896.940307617188,10137.178619384766
2024-09-19,240.23831176757812,10065.825439453125,10306.063751220703
2024-09-20,240.23831176757812,10048.426391601562,10288.66470336914
2024-09-23,240.23831176757812,10073.534545898438,10313.772857666016
2024-09-24,240.23831176757812,10102.358276367188,10342.596588134766
2024-09-25,240.23831176757812,10080.078002929688,10320.316314697266
2024-09-26,240.23831176757812,10120.040771484375,10360.279083251953
2024-09-27,240.23831176757812,10105.364135742188,10345.602447509766
2024-09-30,240.23831176757812,10145.859741210938,10386.098052978516
2024-10-01,240.23831176757812,10054.967651367188,10295.205963134766
2024-10-02,240.23831176757812,10059.211669921875,10299.449981689453
2024-10-03,240.23831176757812,10040.819458007812,10281.05776977539
2024-10-04,240.23831176757812,10132.06640625,10372.304718017578
2024-10-07,240.23831176757812,10040.465698242188,10280.704010009766
2024-10-08,240.23831176757812,10135.426025390625,10375.664337158203
2024-10-09,240.23831176757812,10205.628662109375,10445.866973876953
2024-10-10,240.23831176757812,10187.768188476562,10428.00650024414
2024-10-11,240.23831176757812,10248.775268554688,10489.013580322266
2024-10-14,240.23831176757812,10332.592163085938,10572.830474853516
2024-10-15,240.23831176757812,10252.311767578125,10492.550079345703
2024-10-16,240.23831176757812,10296.872314453125,10537.110626220703
2024-10-17,240.23831176757812,10297.755615234375,10537.993927001953
2024-10-18,240.23831176757812,10337.366821289062,10577.60513305664
2024-10-21,240.23831176757812,10320.390747070312,10560.62905883789
2024-10-22,240.23831176757812,10314.90966796875,10555.147979736328
2024-10-23,240.23831176757812,10220.656860351562,10460.89517211914
2024-10-24,240.23831176757812,10242.762451171875,10483.000762939453
2024-10-25,240.23831176757812,10239.224853515625,10479.463165283203
2024-10-28,240.23831176757812,10270.878662109375,10511.116973876953
2024-10-29,240.23831176757812,10287.5009765625,10527.739288330078
2024-10-30,240.23831176757812,10256.377807617188,10496.616119384766
2024-10-31,240.23831176757812,10055.321411132812,10295.55972290039
2024-11-01,240.23831176757812,10097.761596679688,10337.999908447266
2024-11-04,240.23831176757812,10076.009765625,10316.248077392578
