Date,Action,Price,Shares,Cash,Position
2024-04-15,BUY,492.4649353027344,20,150.7012939453125,20
2024-04-23,SELL,493.6363830566406,20,10023.428955078125,0
2024-07-24,BUY,530.0755615234375,18,482.06884765625,18
2024-07-26,SELL,533.219482421875,18,10080.01953125,0
2024-08-02,BUY,521.9173583984375,19,163.5897216796875,19
2024-08-09,SELL,522.0054931640625,19,10081.694091796875,0
2024-09-06,BUY,529.2236328125,19,26.445068359375,19
2024-09-09,SELL,535.14892578125,19,10194.274658203125,0
2024-12-18,BUY,575.9584350585938,17,402.98126220703125,17
2024-12-20,SELL,582.6973266601562,17,10308.835815429688,0
2024-12-31,BUY,577.69970703125,17,487.9407958984375,17
