Date,Action,Price,Shares,Cash,Position
2024-02-13,BUY,183.37115478515625,54,97.9576416015625,54
2024-02-22,SELL,182.7071990966797,54,9964.146392822266,0
2024-02-26,BUY,179.52618408203125,55,90.20626831054688,55
2024-02-27,SELL,180.98289489746094,55,10044.265487670898,0
2024-02-29,BUY,179.11985778808594,56,13.553451538085938,56
2024-03-18,SELL,172.15325927734375,56,9654.135971069336,0
2024-03-21,BUY,169.82444763183594,56,143.96690368652344,56
2024-03-22,SELL,170.72625732421875,56,9704.637313842773,0
2024-03-26,BUY,168.17941284179688,57,118.41078186035156,57
2024-03-27,SELL,171.74696350097656,57,9907.987701416016,0
2024-04-10,BUY,166.26681518554688,59,98.24560546875,59
2024-04-11,SELL,173.4613494873047,59,10332.465225219727,0
2024-04-18,BUY,165.5334930419922,62,69.38865661621094,62
2024-04-23,SELL,165.39474487304688,62,10323.862838745117,0
2024-07-24,BUY,216.8627471923828,47,131.313720703125,47
2024-07-31,SELL,220.37562561035156,47,10488.968124389648,0
2024-08-01,BUY,216.68414306640625,48,88.12925720214844,48
2024-08-09,SELL,214.58042907714844,48,10387.989852905273,0
2024-09-10,BUY,218.67355346679688,47,110.33283996582031,47
2024-09-11,SELL,221.20692443847656,47,10507.058288574219,0
2024-09-16,BUY,214.90830993652344,48,191.45941162109375,48
2024-09-18,SELL,219.249755859375,48,10715.447692871094,0
2024-10-31,BUY,224.43569946289062,47,166.96981811523438,47
2024-11-07,SELL,225.9954376220703,47,10788.755386352539,0
2024-11-11,BUY,223.01173400878906,48,84.19215393066406,48
2024-11-13,SELL,223.89691162109375,48,10831.243911743164,0
