Date,Action,Price,Shares,Cash,Position
2023-02-22,BUY,245.6915283203125,40,172.3388671875,40
2023-02-23,SELL,248.87612915039062,40,10127.384033203125,0
2023-02-24,BUY,243.4545135498047,41,145.7489776611328,41
2023-03-03,SELL,249.3840789794922,41,10370.496215820312,0
2023-03-10,BUY,242.83908081054688,42,171.25482177734375,42
2023-03-13,SELL,248.04579162597656,42,10589.17807006836,0
2023-04-25,BUY,269.0484313964844,39,96.28924560546875,39
2023-04-26,SELL,288.53692626953125,39,11349.229370117188,0
2023-07-27,BUY,323.7753601074219,35,17.091766357421875,35
2023-07-28,SELL,331.2646484375,35,11611.354461669922,0
2023-08-02,BUY,320.62298583984375,36,68.92697143554688,36
2023-08-21,SELL,315.7881164550781,36,11437.29916381836,0
2023-09-20,BUY,314.6991271972656,36,108.13058471679688,36
2023-10-02,SELL,315.70965576171875,36,11473.678192138672,0
2023-10-03,BUY,307.4588623046875,37,97.70028686523438,37
2023-10-04,SELL,312.92340087890625,37,11675.866119384766,0
2023-12-14,BUY,359.7331237792969,32,164.40615844726562,32
2023-12-15,SELL,364.4518737792969,32,11826.866119384766,0
