Date,Action,Price,Shares,Cash,Position
2024-04-15,BUY,492.46490478515625,20,150.701904296875,20
2024-04-23,SELL,493.6363830566406,20,10023.429565429688,0
2024-07-24,BUY,530.0756225585938,18,482.068359375,18
2024-07-26,SELL,533.2195434570312,18,10080.020141601562,0
2024-08-02,BUY,521.9173583984375,19,163.59033203125,19
2024-08-09,SELL,522.0054321289062,19,10081.693542480469,0
2024-09-06,BUY,529.2235107421875,19,26.44683837890625,19
2024-09-09,SELL,535.1488647460938,19,10194.275268554688,0
2024-12-18,BUY,575.95849609375,17,402.9808349609375,17
2024-12-20,SELL,582.6973266601562,17,10308.835388183594,0
2024-12-31,BUY,577.6997680664062,17,487.9393310546875,17
